Only samples that are Within_ET_space = TRUE were used for analysis.,,

sample_name,ET,Within_ET_space
DP460,ET_B,TRUE
DP463,ET_B,FALSE
DP464,ET_B,TRUE
DP466,ET_B,TRUE
DP467,ET_B,TRUE
DP469,ET_B,FALSE
DP470,ET_B,TRUE
DP472,ET_B,FALSE
DP473,ET_B,TRUE
DP474,ET_B,FALSE
DP476,ET_B,TRUE
DP477,ET_F,TRUE
DP478,ET_F,FALSE
DP480,ET_F,TRUE
DP483,ET_F,TRUE
DP485,ET_B,TRUE
DP486,ET_B,TRUE
DP488,ET_B,TRUE
DP489,ET_B,FALSE
DP490,ET_B,TRUE
DP491,ET_F,TRUE
DP492,ET_F,TRUE
DP493,ET_F,TRUE
DP494,ET_F,TRUE
DP495,ET_F,TRUE
DP497,ET_B,TRUE
DP498,ET_B,FALSE
DP499,ET_F,TRUE
DP500,ET_F,FALSE
DP501,ET_F,FALSE
DP502,ET_B,FALSE
DP503,ET_B,FALSE
DP504,ET_B,FALSE
DP506,ET_F,TRUE
DP507,ET_B,FALSE
DP508,ET_F,TRUE
DP509,ET_B,FALSE
DP511,ET_F,TRUE
DP513,ET_B,TRUE
DP514,ET_B,FALSE
DP515,ET_B,FALSE
DP516,ET_B,FALSE
DP518,ET_B,FALSE
DP520,ET_B,FALSE
DP523,ET_F,TRUE
DP524,ET_F,FALSE
DP525,ET_B,TRUE
DP527,ET_B,TRUE
DP528,ET_B,TRUE
DP529,ET_B,FALSE
DP530,ET_F,TRUE
DP532,ET_F,FALSE
DP533,ET_F,FALSE
DP535,ET_F,TRUE
DP537,ET_B,FALSE
DP538,ET_B,TRUE
DP539,ET_P,FALSE
DP540,ET_B,TRUE
DP541,ET_B,TRUE
DP542,ET_F,TRUE
DP544,ET_B,TRUE
DP545,ET_B,FALSE
DP546,ET_F,TRUE
DP547,ET_B,TRUE
DP548,ET_B,TRUE
DP550,ET_F,TRUE
DP552,ET_B,TRUE
DP553,ET_F,TRUE
DP554,ET_B,TRUE
DP556,ET_B,FALSE
DP558,ET_B,FALSE
DP560,ET_P,FALSE
DP562,ET_B,TRUE
DP563,ET_B,FALSE
DP564,ET_F,TRUE
DP566,ET_B,TRUE
DP567,ET_B,TRUE
DP568,ET_P,TRUE
DP569,ET_F,TRUE
DP570,ET_B,TRUE
DP571,ET_F,TRUE
DP572,ET_F,FALSE
DP574,ET_B,FALSE
DP576,ET_B,TRUE
DP577,ET_B,TRUE
DP578,ET_B,FALSE
DP579,ET_B,FALSE
DP580,ET_B,TRUE
DP581,ET_F,TRUE
DP582,ET_F,TRUE
DP585,ET_B,FALSE
DP587,ET_B,TRUE
DP589,ET_B,FALSE
DP590,ET_B,TRUE
DP591,ET_B,FALSE
DP593,ET_F,TRUE
DP594,ET_F,TRUE
DP595,ET_F,TRUE
DP596,ET_F,TRUE
DP597,ET_B,TRUE
DP598,ET_F,TRUE
DP600,ET_F,FALSE
DP601,ET_B,FALSE
DP602,ET_B,FALSE
DP603,ET_B,FALSE
DP604,ET_B,TRUE
DP605,ET_B,TRUE
DP606,ET_B,FALSE
DP607,ET_F,FALSE
DP610,ET_B,TRUE
DP611,ET_B,FALSE
DP613,ET_B,TRUE
DP615,ET_F,TRUE
DP616,ET_B,TRUE
DP618,ET_B,FALSE
DP619,ET_B,FALSE
DP620,ET_B,TRUE
DP621,ET_B,TRUE
DP622,ET_B,FALSE
DP623,ET_B,TRUE
DP624,ET_B,FALSE
DP625,ET_B,FALSE
DP626,ET_B,TRUE
DP627,ET_F,FALSE
DP628,ET_B,TRUE
DP631,ET_B,TRUE
DP632,ET_F,TRUE
DP634,ET_B,TRUE
DP637,ET_F,FALSE
DP638,ET_B,TRUE
DP639,ET_B,TRUE
DP640,ET_B,TRUE
DP641,ET_F,TRUE
DP642,ET_P,TRUE
DP644,ET_F,TRUE
DP646,ET_B,TRUE
SC0558,ET_F,FALSE
SC0637,ET_F,FALSE
SP1112,ET_B,FALSE
SP1113,ET_F,FALSE
SP1114,ET_F,TRUE
